year,AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,CO,NOX
2014,12.562,1004.6,82.294,3.6771,31.196,1099.8,541.42,154.88,13.44,0.87832,60.048
2011,26.331,1011.8,66.459,3.7729,25.464,1090.5,549.95,132.76,12.094,0.44446,61.635
2013,14.375,1003.3,93.696,2.8283,19.113,1052.5,549.91,108.59,10.341,5.299,69.073
2011,11.997,1013.2,86.749,4.7958,32.265,1100.1,530.53,160.1,13.921,0.13127,61.352
2015,17.524,1015.0,81.079,3.7075,24.159,1078.5,550.3,131.03,11.834,1.79,50.45
2013,14.652,1009.3,68.261,3.1791,24.388,1086.7,549.86,134.46,11.861,1.6633,77.274
2012,19.759,1014.6,88.567,5.3378,25.275,1090.2,550.08,134.68,12.147,1.4059,65.693
2015,28.889,1016.3,53.83,3.903,24.909,1081.3,550.13,129.08,11.923,2.4402,50.775
2015,4.6128,1025.1,81.234,4.0853,33.146,1100.0,531.85,164.34,14.126,2.9008,58.405
2012,21.313,1012.1,61.482,5.8036,30.757,1100.2,538.37,148.72,13.477,0.83337,72.056
2015,8.0202,1012.9,83.202,3.2373,23.88,1074.9,549.94,131.86,11.721,3.5622,71.785
2015,26.587,1014.0,72.895,4.289,29.171,1099.9,547.27,145.9,13.094,1.5218,52.41
2012,6.3809,1014.6,90.564,5.7581,31.578,1099.7,533.56,160.64,13.616,0.2129,63.968
2015,12.124,1028.8,64.659,3.1631,21.727,1064.8,550.21,122.0,11.245,6.1245,66.281
2013,4.8631,1027.0,81.084,4.2825,34.045,1100.0,529.98,168.38,14.29,1.2538,78.397
2013,12.691,1008.3,99.528,3.9423,31.673,1099.9,534.12,157.1,13.682,1.828,72.17
2013,24.028,1006.2,89.987,4.3309,25.132,1089.4,550.25,132.93,12.058,1.2064,56.575
2012,21.396,1016.5,93.668,4.482,25.3,1089.7,549.61,133.6,11.94,1.5844,60.601
2015,26.645,1007.8,56.328,4.6229,29.516,1100.0,546.4,147.64,13.15,1.0679,48.314
2013,14.794,1021.8,92.759,4.0652,31.88,1099.9,533.36,154.87,13.748,1.0873,75.101
2011,3.0755,1016.7,88.979,4.0904,23.378,1084.7,550.17,133.65,11.812,0.28778,60.38
2011,24.99,1011.2,71.802,3.935,25.607,1091.9,550.27,133.84,12.134,0.16125,60.01
2013,18.914,1004.9,74.108,2.6886,19.648,1055.3,549.89,109.06,10.494,4.9943,60.658
2012,15.288,1012.9,83.859,4.008,18.792,1035.5,539.67,104.14,10.227,12.17,101.75
2014,26.499,1007.4,74.234,5.3901,30.217,1100.0,545.87,147.3,13.156,1.5276,52.749
2011,12.236,1020.3,74.77,5.0895,32.265,1100.2,529.04,160.39,13.975,0.87876,67.208
2015,11.574,1024.4,48.852,3.0075,22.9,1040.6,533.85,117.17,11.132,29.084,81.604
2013,11.065,1024.0,92.12,2.987,24.151,1085.9,549.76,134.22,11.945,1.8963,70.738
2014,16.522,1009.3,79.588,3.209,23.276,1066.4,549.94,124.67,11.296,1.3193,57.75
2013,9.0668,1013.4,86.689,4.0052,32.112,1099.9,531.28,160.76,13.815,0.48563,68.684
2015,27.489,1014.8,55.592,4.0419,25.25,1083.1,550.04,130.77,12.062,1.1177,53.64
2014,13.768,1016.4,87.779,2.7257,24.672,1066.5,549.88,123.63,11.319,1.8851,65.307
2013,15.242,1016.9,83.785,3.1943,24.747,1086.9,550.01,133.31,11.977,0.82383,62.533
2012,16.253,1002.2,78.436,3.8915,31.227,1100.1,533.1,156.74,13.71,1.3767,74.456
2014,16.792,1007.0,87.089,4.2179,29.408,1097.4,548.49,148.03,12.935,1.1573,78.779
2012,12.937,1016.8,97.371,2.7691,24.646,1087.8,549.86,133.69,11.957,6.1358,57.279
2014,8.0123,1015.0,88.537,2.6851,22.011,1066.3,549.97,125.29,11.282,1.9846,73.167
2015,36.264,1004.7,30.945,4.382,29.649,1099.5,547.36,144.87,12.961,1.6336,63.429
2015,25.201,1010.9,81.597,4.2782,29.081,1099.6,547.15,145.66,13.101,1.0462,51.736
2011,18.357,1007.7,80.887,2.8798,18.351,1048.5,549.29,105.38,10.271,3.7093,67.793
2011,32.0,1003.5,51.378,4.42,29.401,1100.0,543.01,145.68,13.088,0.27929,59.542
2014,22.919,1018.8,85.43,4.749,30.778,1100.0,542.79,150.2,13.367,0.96299,45.191
2012,10.416,998.62,100.16,5.1626,23.503,1069.3,543.55,127.83,11.529,11.864,82.206
2011,10.592,1024.5,63.127,3.9254,23.873,1085.6,549.97,133.82,11.973,1.6774,80.897
2013,26.878,1010.5,70.08,4.2907,25.887,1093.1,550.15,134.41,12.268,1.3298,63.526
2015,11.779,1017.9,83.123,3.2537,23.495,1075.8,549.58,130.73,11.772,3.1877,58.459
2012,24.91,1005.8,85.796,3.8113,22.564,1072.4,549.81,120.27,11.154,5.6454,59.048
2011,10.305,1004.6,99.282,3.5339,18.909,1053.3,550.0,110.78,10.328,3.7118,79.165
2013,24.111,1006.8,81.063,4.0326,25.341,1089.4,549.8,133.01,11.986,6.8036,59.406
2013,25.299,1011.4,78.749,5.1948,25.78,1092.0,549.71,134.08,12.225,1.7515,60.627
2015,15.433,1020.2,71.364,3.3549,24.175,1078.3,550.17,131.28,11.786,2.3297,54.527
2014,15.973,1013.0,60.314,3.6982,25.324,1087.5,550.07,133.14,12.054,0.87356,65.81
2013,24.709,1012.1,60.467,4.5757,25.64,1091.6,550.19,133.45,12.045,0.95425,67.617
2014,9.1946,1020.0,82.425,2.6112,22.84,1062.2,549.64,121.4,11.086,2.1072,73.505
2012,7.9574,1006.3,92.203,4.1637,23.696,1083.5,549.96,133.7,11.703,1.7095,78.34
2011,3.4638,1028.8,88.841,3.4958,19.821,1045.1,537.71,115.7,10.762,8.0434,96.572
2015,18.329,1009.6,86.361,3.2175,23.261,1072.2,549.86,126.3,11.482,2.1467,46.426
2011,3.7516,1017.8,85.182,3.5781,23.917,1085.9,550.0,134.67,11.91,0.26747,82.028
2013,7.6934,1009.0,89.659,2.7162,22.12,1068.5,546.59,125.24,11.255,4.4873,86.977
2013,7.1915,1028.9,65.404,4.2573,33.502,1100.0,524.72,165.29,14.268,1.2641,64.165
2012,17.911,1013.9,100.09,3.7634,19.423,1056.0,549.97,109.66,10.475,4.8995,58.138
2012,9.6011,1022.6,93.716,2.4037,19.472,1036.4,536.06,108.87,10.51,12.443,98.293
2013,8.4618,1007.9,99.538,4.1948,32.984,1099.8,528.61,163.17,14.021,0.80605,70.01
2014,13.343,1003.2,94.578,3.6261,25.164,1076.0,549.88,133.1,11.77,1.2927,58.207
2011,10.044,1006.3,83.611,3.7912,21.508,1069.4,549.99,121.54,11.086,3.6542,79.226
2011,24.925,1015.1,64.799,4.4367,30.76,1100.0,536.32,152.51,13.51,0.85047,55.326
2014,9.705,1023.5,72.838,4.4507,33.172,1099.8,534.83,162.22,13.999,0.99126,77.027
2012,21.83,1004.5,75.774,3.7307,23.845,1081.0,549.85,128.12,11.613,1.826,65.525
2015,8.9105,1021.9,72.035,3.1769,28.184,1074.6,549.95,130.3,11.7,3.7252,67.607
2012,26.133,1017.1,50.897,4.3871,25.905,1093.3,550.33,133.76,12.325,0.22293,69.607
2012,21.554,1002.5,74.059,5.3096,25.704,1090.2,550.02,134.85,12.087,0.7172,69.748
2013,30.245,1012.9,41.052,4.2247,20.849,1062.6,550.01,110.03,10.821,3.6041,57.688
2011,25.939,1013.1,57.534,3.9119,26.869,1098.9,550.22,139.43,12.419,0.92889,83.398
2011,12.452,1008.0,61.87,5.2795,32.255,1100.2,530.96,159.17,13.875,0.36771,72.125
2013,31.862,1011.0,53.543,5.3082,27.207,1098.2,549.7,135.35,12.551,1.0438,67.945
2015,24.989,1015.2,64.014,3.7782,24.965,1081.6,549.99,130.82,11.954,2.3637,52.426
2014,29.043,1004.7,70.296,5.1797,30.48,1100.0,545.85,146.39,13.162,1.6721,55.784
2015,22.14,1014.6,79.95,3.9649,25.099,1082.1,550.35,131.8,12.014,1.7583,51.092
2013,7.3471,1016.0,89.699,3.206,23.626,1084.7,549.92,134.5,11.774,2.0988,77.08
2011,12.752,1024.0,73.06,4.1635,23.331,1081.8,549.99,129.63,11.719,1.2845,60.38
2014,27.688,1009.4,64.59,4.816,30.726,1100.0,544.69,148.91,13.217,0.80766,49.012
2014,6.4653,1031.1,88.803,3.5362,24.834,1080.6,550.14,134.56,11.954,0.76562,64.806
2013,27.172,1009.7,77.686,4.8691,25.398,1089.5,549.85,131.2,11.986,1.7232,58.764
2011,9.6646,1024.4,75.92,3.9031,23.878,1086.7,549.85,134.68,11.888,1.4009,79.346
2011,11.415,1011.8,97.808,4.4645,24.014,1085.5,550.01,133.66,11.863,0.91737,74.879
2012,22.314,995.28,60.58,4.2392,20.298,1058.0,550.02,111.14,10.514,4.2424,70.523
2014,27.663,1008.2,68.452,4.2192,25.286,1079.0,550.12,127.59,11.85,1.9019,52.182
2011,21.116,1012.3,82.685,3.6352,24.701,1088.0,549.85,133.14,12.003,0.95204,60.277
2012,18.054,1020.8,75.151,3.8524,21.241,1067.5,549.81,117.71,11.061,3.8696,66.497
2011,13.381,1013.9,96.962,6.0398,32.188,1099.9,531.48,157.89,13.83,1.1245,64.105
2014,24.481,1013.6,70.654,4.6379,31.122,1099.9,542.41,151.27,13.342,1.2884,59.848
2011,18.713,1014.3,94.445,3.6965,24.364,1087.1,550.11,132.57,11.828,1.2332,59.922
2015,22.733,1009.1,72.688,4.3871,30.521,1099.8,543.16,150.33,13.368,1.3729,56.037
2013,12.872,1019.3,90.958,3.1222,24.527,1086.8,550.09,134.59,11.891,2.6043,78.192
2012,19.254,1012.5,91.126,3.4984,21.019,1063.8,549.84,115.58,10.85,4.6208,59.173
2011,29.406,1009.6,57.103,3.9203,25.615,1092.0,550.36,133.79,12.282,0.70096,64.602
2015,23.014,1007.3,85.832,4.3753,29.81,1100.2,545.54,147.93,13.209,0.73723,53.576
2013,17.922,992.69,70.621,3.5692,27.592,1093.6,545.9,142.03,12.523,1.3489,81.548
2012,27.794,1007.6,80.0,4.2792,26.227,1093.7,550.04,134.87,12.307,0.88529,56.656
2012,16.472,1002.8,73.126,3.8087,30.929,1099.9,533.95,156.18,13.676,0.8867,74.231
2013,21.407,1002.9,88.839,3.9581,25.174,1088.7,550.11,133.53,12.076,5.466,57.971
2014,27.115,1006.7,72.445,4.5399,30.158,1099.9,546.59,147.85,13.078,1.4535,56.963
